greek,english,greek_to_english_score,english_to_greek_score,recent_wrong,explanations_examples
ναι,yes,0,0,0,"Basic affirmative answer. Example: Ναι, θέλω νερό = Yes, I want water."
όχι,no,0,0,0,"Basic negative answer. Example: Όχι, δεν θέλω = No, I do not want."
γεια,hi,0,0,0,"Informal greeting and goodbye. Example: Γεια, τι κάνεις = Hi, how are you."
ευχαριστώ,thank you,0,0,0,Use to thank someone. Example: Ευχαριστώ για το νερό = Thank you for the water.
παρακαλώ,you’re welcome,0,0,0,"Means you are welcome and can also mean please. Example: Παρακαλώ, κάτσε = Please, sit."
συγγνώμη,sorry / excuse me,0,0,0,"Use for sorry or excuse me. Example: Συγγνώμη, πού είναι η τουαλέτα = Excuse me, where is the bathroom."
εντάξει,okay,0,0,0,"Means okay or all right. Example: Εντάξει, πάμε = Okay, let us go."
καλό,good,0,0,0,"Neuter form of good, often used for things. Example: Καλό φαγητό = Good food."
κακό,bad,0,0,0,Neuter form of bad. Example: Κακό νερό = Bad water.
εδώ,here,0,0,0,"Means here, near the speaker. Example: Έλα εδώ = Come here."
εκεί,there,0,0,0,"Means there, away from the speaker. Example: Κάτσε εκεί = Sit there."
τώρα,now,0,0,0,"Means now, at this moment. Example: Θέλω φαγητό τώρα = I want food now."
μετά,later,0,0,0,Means later or after. Example: Θα πάμε μετά = We will go later.
πάνω,up,0,0,0,Means up or above. Example: Κοίτα πάνω = Look up.
κάτω,down,0,0,0,Means down or below. Example: Κοίτα κάτω = Look down.
δεξιά,right,0,0,0,Means right as a direction. Example: Πήγαινε δεξιά = Go right.
αριστερά,left,0,0,0,Means left as a direction. Example: Πήγαινε αριστερά = Go left.
σταμάτα,stop,0,0,0,Imperative form meaning stop. Example: Σταμάτα τώρα = Stop now.
έλα,come,0,0,0,Imperative form meaning come. Example: Έλα εδώ = Come here.
πήγαινε,go,0,0,0,Imperative form meaning go. Example: Πήγαινε εκεί = Go there.
κοίτα,look,0,0,0,Imperative form meaning look. Example: Κοίτα αυτό = Look at this.
άκου,listen,0,0,0,Imperative form meaning listen. Example: Άκου με = Listen to me.
κάτσε,sit,0,0,0,Imperative form meaning sit or stay. Example: Κάτσε εδώ = Sit here.
σήκω,stand up,0,0,0,Imperative form meaning stand up or get up. Example: Σήκω τώρα = Stand up now.
βοήθεια,help,0,0,0,"Use when asking for help. Example: Βοήθεια, παρακαλώ = Help, please."
νερό,water,0,0,0,Common noun for water. Example: Θέλω νερό = I want water.
φαγητό,food,0,0,0,Common noun for food. Example: Θέλω φαγητό = I want food.
τουαλέτα,bathroom,0,0,0,Means toilet or bathroom. Example: Πού είναι η τουαλέτα = Where is the bathroom.
πόσο,how much,0,0,0,Question word for how much or how many. Example: Πόσο κάνει = How much does it cost.
πού,where,0,0,0,Question word for where. Example: Πού είσαι = Where are you.
πότε,when,0,0,0,Question word for when. Example: Πότε πάμε = When are we going.
γιατί,why,0,0,0,"Question word meaning why, and sometimes because in answers. Example: Γιατί όχι = Why not."
τι,what,0,0,0,Question word for what. Example: Τι θέλεις = What do you want.
ποιος,who,0,0,0,Masculine question word for who. Example: Ποιος είναι = Who is he.
θέλω,I want,0,0,0,First person verb meaning I want. Example: Θέλω καφέ = I want coffee.
δεν θέλω,I don’t want,0,0,0,Negative phrase meaning I do not want. Example: Δεν θέλω φαγητό = I do not want food.
ξέρω,I know / know,0,0,0,Means I know or know. Example: Ξέρω ελληνικά = I know Greek.
δεν ξέρω,I don’t know,0,0,0,Means I do not know. Example: Δεν ξέρω πού είναι = I do not know where it is.
καταλαβαίνω,I understand,0,0,0,Means I understand. Example: Καταλαβαίνω λίγο = I understand a little.
δεν καταλαβαίνω,I don’t understand,0,0,0,Means I do not understand. Example: Δεν καταλαβαίνω ελληνικά = I do not understand Greek.
και,and,0,0,0,Basic connector meaning and. Example: Νερό και φαγητό = Water and food.
ή,or,0,0,0,Basic connector meaning or. Example: Τώρα ή μετά = Now or later.
αλλά,but,0,0,0,"Connector meaning but. Example: Θέλω, αλλά δεν μπορώ = I want to, but I cannot."
όμως,however,0,0,0,"Means however or but, often stronger than αλλά. Example: Θέλω να πάω, όμως δεν μπορώ = I want to go, however I cannot."
επειδή,because,0,0,0,"Connector meaning because, used before the reason. Example: Δεν πάω επειδή είμαι κουρασμένος = I am not going because I am tired."
οπότε,so,0,0,0,"Means so or therefore, often for practical consequence. Example: Βρέχει, οπότε μένω εδώ = It is raining, so I am staying here."
άρα,therefore,0,0,0,"Means therefore, used for logical conclusion. Example: Είναι αργά, άρα πάμε = It is late, therefore we go."
λοιπόν,so / well,0,0,0,"Discourse word meaning so, well, or then. Example: Λοιπόν, πάμε = Well, let us go."
τότε,then,0,0,0,"Means then, at that time or in that case. Example: Τότε δεν ήξερα = Then I did not know."
πριν,before,0,0,0,"Means before. Example: Πριν πάμε, θέλω νερό = Before we go, I want water."
όταν,when,0,0,0,"Connector meaning when. Example: Όταν έρθεις, θα πάμε = When you come, we will go."
ενώ,while / whereas,0,0,0,"Means while or whereas, often contrasts two facts. Example: Θέλω καφέ, ενώ αυτός θέλει νερό = I want coffee, whereas he wants water."
αν,if,0,0,0,"Means if. Example: Αν θέλεις, πάμε = If you want, we go."
αν και,although,0,0,0,"Means although. Example: Αν και είναι αργά, πάμε = Although it is late, we go."
παρόλο που,even though,0,0,0,"Means even though, usually for contrast. Example: Παρόλο που βρέχει, πάμε = Even though it is raining, we go."
επίσης,also,0,0,0,"Means also or as well. Example: Θέλω νερό, επίσης θέλω φαγητό = I want water, I also want food."
ακόμα,still / yet,0,0,0,"Means still or yet, and sometimes more. Example: Είμαι ακόμα εδώ = I am still here."
ακόμα και,even,0,0,0,"Means even, used for emphasis. Example: Ακόμα και τώρα θέλω να πάω = Even now I want to go."
μόνο,only,0,0,0,Means only. Example: Θέλω μόνο νερό = I only want water.
κυρίως,mainly,0,0,0,Means mainly or mostly. Example: Μιλάω κυρίως αγγλικά = I mainly speak English.
σχεδόν,almost,0,0,0,Means almost. Example: Σχεδόν τελείωσα = I almost finished.
ίσως,maybe,0,0,0,Means maybe or perhaps. Example: Ίσως πάμε μετά = Maybe we will go later.
μάλλον,probably,0,0,0,Means probably or rather. Example: Μάλλον θα πάω = I will probably go.
σίγουρα,surely,0,0,0,Means surely or definitely. Example: Σίγουρα θέλω = I definitely want it.
φυσικά,of course,0,0,0,"Means of course or naturally. Example: Φυσικά, πάμε = Of course, let us go."
δηλαδή,that is / I mean,0,0,0,"Means that is or I mean, used to clarify. Example: Θέλω κάτι απλό, δηλαδή νερό = I want something simple, that is water."
για παράδειγμα,for example,0,0,0,"Means for example. Example: Θέλω κάτι, για παράδειγμα νερό = I want something, for example water."
όπως,like / as,0,0,0,Means like or as. Example: Όπως είπα = As I said.
έτσι,like this / so,0,0,0,"Means like this, this way, or so. Example: Κάν’ το έτσι = Do it like this."
έτσι κι αλλιώς,anyway,0,0,0,Means anyway or in any case. Example: Έτσι κι αλλιώς θα πάω = I will go anyway.
τελικά,finally / in the end,0,0,0,Means finally or in the end. Example: Τελικά πήγαμε = In the end we went.
γενικά,generally,0,0,0,"Means generally. Example: Γενικά μου αρέσει = Generally, I like it."
συνήθως,usually,0,0,0,Means usually. Example: Συνήθως πίνω νερό = I usually drink water.
μερικές φορές,sometimes,0,0,0,Means sometimes. Example: Μερικές φορές πάω εκεί = Sometimes I go there.
πάντα,always,0,0,0,Means always. Example: Πάντα θέλω καφέ = I always want coffee.
ποτέ,never / when,0,0,0,Means never. Do not confuse with πότε meaning when. Example: Ποτέ δεν πάω εκεί = I never go there.
ακόμη,still / yet,0,0,0,"Means still or yet, close to ακόμα. Example: Είναι ακόμη εδώ = He is still here."
μέχρι,until,0,0,0,Means until or up to. Example: Μέχρι αύριο = Until tomorrow.
από,from,0,0,0,"Means from or by, depending on context. Example: Είμαι από το Ισραήλ = I am from Israel."
προς,toward / towards,0,0,0,"Means toward or to, usually direction. Example: Πάμε προς τα δεξιά = We are going toward the right."
με,with,0,0,0,Means with. Example: Με εσένα = With you.
χωρίς,without,0,0,0,Means without. Example: Χωρίς νερό = Without water.
για,for,0,0,0,"Means for, about, or in order to, depending on context. Example: Αυτό είναι για εσένα = This is for you."
σε,to / in / at,0,0,0,"Very common preposition meaning to, in, or at. Example: Σε ένα σπίτι = In a house."
από τότε,since then,0,0,0,Means since then. Example: Από τότε μένω εδώ = Since then I have lived here.
μέχρι τότε,until then,0,0,0,"Means until then. Example: Μέχρι τότε, μένω εδώ = Until then, I am staying here."
γι’ αυτό,that’s why,0,0,0,Means that is why or for this reason. Example: Γι’ αυτό δεν πάω = That is why I am not going.
παρ’ όλα αυτά,nevertheless,0,0,0,"Means nevertheless or despite all that. Example: Βρέχει, παρ’ όλα αυτά πάμε = It is raining, nevertheless we go."
από την άλλη,on the other hand,0,0,0,"Means on the other hand. Example: Θέλω να πάω, από την άλλη είμαι κουρασμένος = I want to go, on the other hand I am tired."
με άλλα λόγια,in other words,0,0,0,"Means in other words, used to rephrase. Example: Με άλλα λόγια, δεν θέλω = In other words, I do not want it."
